Week 2 - Preemption Experement
[LOW] running at tick = 5639
[LOW] running at tick = 5671
[LOW] running at tick = 5702
[LOW] running at tick = 5734
[LOW] running at tick = 5764
[LOW] running at tick = 5781
[LOW] running at tick = 5786
[LOW] running at tick = 5791
[LOW] running at tick = 5795
[LOW] running at tick = 5800
[LOW] running at tick = 5805
[LOW] running at tick = 5816
[LOW] running at tick = 5847
[LOW] running at tick = 5878
[LOW] running at tick = 5910
[LOW] running at tick = 5941
[LOW] running at tick = 5971
[HIGH] running at tick = 6000
[LOW] running at tick = 6000
[LOW] running at tick = 6005
[LOW] running at tick = 6010
[LOW] running at tick = 6016
[LOW] running at tick = 6023
[LOW] running at tick = 6029
[LOW] running at tick = 6035
[LOW] running at tick = 6041
[LOW] running at tick = 6047
[LOW] running at tick = 6067
[LOW] running at tick = 6098
[LOW] running at tick = 6128
[LOW] running at tick = 6159
[LOW] running at tick = 6190
[LOW] running at tick = 6220
[LOW] running at tick = 6251
[LOW] running at tick = 6281
[LOW] running at tick = 6312
[LOW] running at tick = 6342
[LOW] running at tick = 6372
[LOW] running at tick = 6403
[LOW] running at tick = 6433
[LOW] running at tick = 6464
[LOW] running at tick = 6494
[LOW] running at tick = 6524
[LOW] running at tick = 6555
[LOW] running at tick = 6585
[LOW] running at tick = 6614
[LOW] running at tick = 6620
[LOW] running at tick = 6626
[LOW] running at tick = 6656
[LOW] running at tick = 6686
[LOW] running at tick = 6715
[LOW] running at tick = 6742
[LOW] running at tick = 6771
[LOW] running at tick = 6799
[LOW] running at tick = 6826
[LOW] running at tick = 6854
[LOW] running at tick = 6881
[LOW] running at tick = 6907
[LOW] running at tick = 6933
[LOW] running at tick = 6959
[LOW] running at tick = 6985
[HIGH] running at tick = 7000
[LOW] running at tick = 7001
[LOW] running at tick = 7005
[LOW] running at tick = 7009
[LOW] running at tick = 7014
[LOW] running at tick = 7019
[LOW] running at tick = 7023
[LOW] running at tick = 7027
[LOW] running at tick = 7049
[LOW] running at tick = 7074
[LOW] running at tick = 7098
[LOW] running at tick = 7122
[LOW] running at tick = 7146
[LOW] running at tick = 7170
[LOW] running at tick = 7194
[LOW] running at tick = 7217
[LOW] running at tick = 7241
[LOW] running at tick = 7263
[LOW] running at tick = 7285
